train_no,station_order,station_id,station_name,arrival_time,departure_time,train_type
G7232,3,1005,南京南,10:25,10:32,高速动车
G7232,4,1031,合肥南,11:27,NULL,高速动车
G7033,1,1009,常州,NULL,07:00,高速动车
G7033,2,1015,苏州,07:34,07:36,高速动车
G7033,3,1001,上海,08:18,NULL,高速动车
C3808,1,1006,南通,NULL,06:47,城际动车
C3808,2,1001,上海,08:20,NULL,城际动车
G8276,1,1001,上海,NULL,08:25,高速动车
G8276,2,1015,苏州,09:06,09:08,高速动车
G8276,3,1009,常州,09:38,NULL,高速动车
K8358,1,1018,连云港东,NULL,19:30,快速
K8358,2,1017,连云港,19:58,20:03,快速
K8358,3,1013,新沂,21:02,21:06,快速
K8358,4,1011,徐州,22:30,22:39,快速
K8358,5,1038,蚌埠,01:09,01:13,快速
K8358,6,1004,南京,03:12,03:20,快速
K8358,7,1009,常州,05:05,05:17,快速
K8358,8,1015,苏州,07:06,07:09,快速
K8358,9,1001,上海,08:28,NULL,快速
D952,1,1001,上海,NULL,08:30,动车组
D952,2,1005,南京南,10:12,10:16,动车组
D952,3,1031,合肥南,11:06,NULL,动车组
G7035,1,1004,南京,NULL,06:30,高速动车
G7035,2,1009,常州,07:15,07:17,高速动车
G7035,3,1015,苏州,07:55,07:57,高速动车
G7035,4,1001,上海,08:35,NULL,高速动车
G7084,1,1001,上海,NULL,08:37,高速动车
G7084,2,1015,苏州,09:11,09:13,高速动车
G7084,3,1009,常州,09:43,09:45,高速动车
G7084,4,1005,南京南,10:40,10:46,高速动车
G7084,5,1037,芜湖,11:23,11:25,高速动车
G7084,6,1040,铜陵,12:03,12:05,高速动车
G7084,7,1032,安庆,12:46,NULL,高速动车
G7001,1,1004,南京,NULL,07:00,高速动车
G7001,2,1009,常州,07:39,07:41,高速动车
G7001,3,1015,苏州,08:12,08:14,高速动车
G7001,4,1001,上海,08:39,NULL,高速动车
K290,1,1001,上海,NULL,08:45,快速
K290,2,1015,苏州,09:54,09:58,快速
K290,3,1009,常州,11:09,11:13,快速
K290,4,1004,南京,12:47,12:59,快速
K290,5,1038,蚌埠,15:05,15:14,快速
K290,6,1011,徐州,17:17,NULL,快速
C3856,1,1001,上海,NULL,08:51,城际动车
C3856,2,1007,南通西,10:15,10:17,城际动车
C3856,3,1004,南京,12:48,NULL,城际动车
Z376,1,1001,上海,NULL,08:57,直达特快
Z376,2,1015,苏州,10:01,10:04,直达特快
Z376,3,1009,常州,10:57,11:01,直达特快
Z376,4,1004,南京,12:41,12:47,直达特快
Z376,5,1038,蚌埠,14:58,15:08,直达特快
Z376,6,1011,徐州,16:55,NULL,直达特快
G7037,1,1005,南京南,NULL,06:40,高速动车
G7037,2,1009,常州,07:33,07:35,高速动车
G7037,3,1015,苏州,08:06,08:08,高速动车
G7037,4,1001,上海,08:58,NULL,高速动车
K1101,1,1011,徐州,NULL,00:14,快速
K1101,2,1038,蚌埠,02:16,02:21,快速
K1101,3,1004,南京,04:20,04:28,快速
K1101,4,1009,常州,06:42,06:46,快速
K1101,5,1015,苏州,07:45,07:49,快速
K1101,6,1001,上海,08:59,NULL,快速
G7006,1,1001,上海,NULL,09:00,高速动车
G7006,2,1015,苏州,09:25,09:27,高速动车
G7006,3,1009,常州,09:58,10:00,高速动车
G7006,4,1004,南京,10:41,NULL,高速动车
K516,1,1001,上海,NULL,09:03,快速
K516,2,1015,苏州,10:19,10:23,快速
K516,3,1009,常州,11:22,11:25,快速
K516,4,1004,南京,12:53,13:05,快速
K516,5,1038,蚌埠,15:18,15:22,快速
K516,6,1011,徐州,17:58,NULL,快速
K233,1,1011,徐州,NULL,23:31,快速
K233,2,1004,南京,03:18,03:47,快速
K233,3,1009,常州,05:25,05:29,快速
K233,4,1015,苏州,07:23,07:27,快速
K233,5,1001,上海,09:05,NULL,快速
G7038,1,1001,上海,NULL,09:08,高速动车
G7038,2,1015,苏州,09:48,09:50,高速动车
G7038,3,1009,常州,10:21,10:23,高速动车
G7038,4,1004,南京,11:19,NULL,高速动车
G8262,1,1001,上海,NULL,09:08,高速动车
G8262,2,1015,苏州,09:48,09:50,高速动车
G8262,3,1009,常州,10:21,10:23,高速动车
G8262,4,1017,连云港,13:12,NULL,高速动车
G7039,1,1004,南京,NULL,07:15,高速动车
G7039,2,1015,苏州,08:40,08:42,高速动车
G7039,3,1001,上海,09:15,NULL,高速动车
G8272,1,1001,上海,NULL,09:17,高速动车
G8272,2,1015,苏州,09:53,09:55,高速动车
G8272,3,1009,常州,10:41,10:48,高速动车
G8272,4,1012,徐州东,13:33,NULL,高速动车
D705,1,1004,南京,NULL,06:52,动车组
D705,2,1001,上海,09:21,NULL,动车组
K360,1,1001,上海,NULL,09:23,快速
K360,2,1015,苏州,10:25,10:29,快速
K360,3,1009,常州,11:28,11:31,快速
K360,4,1004,南京,13:08,13:14,快速
K360,5,1038,蚌埠,15:24,15:28,快速
K360,6,1011,徐州,17:45,NULL,快速
G7274,1,1037,芜湖,NULL,06:42,高速动车
G7274,2,1005,南京南,07:19,07:24,高速动车
G7274,3,1009,常州,08:22,08:24,高速动车
G7274,4,1015,苏州,08:56,08:58,高速动车
G7274,5,1001,上海,09:30,NULL,高速动车
G7043,1,1005,南京南,NULL,07:12,高速动车
G7043,2,1015,苏州,08:45,08:47,高速动车
G7043,3,1001,上海,09:35,NULL,高速动车
G7319,1,1001,上海,NULL,09:38,高速动车
G7319,2,1003,上海虹桥,10:05,10:08,高速动车
G7319,3,1020,嘉兴南,10:37,10:39,高速动车
G7319,4,1023,杭州东,11:03,11:14,高速动车
G7319,5,1045,黄山北,12:46,NULL,高速动车
G7003,1,1004,南京,NULL,08:00,高速动车
G7003,2,1009,常州,08:39,08:41,高速动车
G7003,3,1015,苏州,09:12,09:14,高速动车
G7003,4,1001,上海,09:39,NULL,高速动车
G7040,1,1001,上海,NULL,09:53,高速动车
G7040,2,1015,苏州,10:30,10:32,高速动车
G7040,3,1009,常州,11:03,11:05,高速动车
G7040,4,1004,南京,11:51,NULL,高速动车
C3854,1,1004,南京,NULL,06:15,城际动车
C3854,2,1007,南通西,08:33,08:35,城际动车
C3854,3,1001,上海,09:54,NULL,城际动车
C3860,1,1001,上海,NULL,09:56,城际动车
C3860,2,1007,南通西,11:26,11:28,城际动车
C3860,3,1004,南京,13:53,NULL,城际动车
G7008,1,1001,上海,NULL,10:00,高速动车
G7008,2,1015,苏州,10:25,10:27,高速动车
G7008,3,1009,常州,10:58,11:00,高速动车
G7008,4,1004,南京,11:40,NULL,高速动车
Z198,1,1004,南京,NULL,07:20,直达特快
Z198,2,1001,上海,10:00,NULL,直达特快
G7042,1,1001,上海,NULL,10:05,高速动车
G7042,2,1015,苏州,10:45,10:47,高速动车
G7042,3,1009,常州,11:14,11:16,高速动车
G7042,4,1004,南京,12:07,NULL,高速动车
G7262,1,1030,合肥,NULL,08:03,高速动车
G7262,2,1005,南京南,08:54,08:58,高速动车
G7262,3,1001,上海,10:13,NULL,高速动车
K1556,1,1001,上海,NULL,10:15,快速
K1556,2,1015,苏州,11:17,11:21,快速
K1556,3,1009,常州,12:26,12:29,快速
K1556,4,1004,南京,14:24,14:36,快速
K1556,5,1037,芜湖,16:30,16:36,快速
K1556,6,1040,铜陵,18:03,NULL,快速
G7228,1,1037,芜湖,NULL,07:28,高速动车
G7228,2,1005,南京南,08:06,08:10,高速动车
G7228,3,1009,常州,09:09,09:11,高速动车
G7228,4,1015,苏州,09:43,09:45,高速动车
G7228,5,1001,上海,10:18,NULL,高速动车
K462,1,1042,阜阳,NULL,21:56,快速
K462,2,1004,南京,05:25,05:31,快速
K462,3,1009,常州,07:18,07:22,快速
K462,4,1015,苏州,08:48,08:53,快速
K462,5,1001,上海,10:19,NULL,快速
C3864,1,1001,上海,NULL,10:22,城际动车
C3864,2,1007,南通西,11:50,11:52,城际动车
C3864,3,1004,南京,14:16,NULL,城际动车
G7236,1,1001,上海,NULL,10:28,高速动车
G7236,2,1015,苏州,11:00,11:02,高速动车
G7236,3,1009,常州,11:41,11:43,高速动车
G7236,4,1005,南京南,12:38,12:44,高速动车
G7236,5,1031,合肥南,13:35,NULL,高速动车
Z100,1,1028,金华,NULL,07:25,直达特快
Z100,2,1001,上海,10:37,NULL,直达特快
G7005,1,1004,南京,NULL,09:00,高速动车
G7005,2,1009,常州,09:39,09:41,高速动车
G7005,3,1015,苏州,10:12,10:14,高速动车
G7005,4,1001,上海,10:39,NULL,高速动车
G7060,1,1001,上海,NULL,10:40,高速动车
G7060,2,1009,常州,11:46,11:48,高速动车
G7060,3,1005,南京南,12:42,12:45,高速动车
G7060,4,1037,芜湖,13:28,13:31,高速动车
G7060,5,1040,铜陵,14:09,14:11,高速动车
G7060,6,1032,安庆,14:52,NULL,高速动车
C3816,1,1006,南通,NULL,09:04,城际动车
C3816,2,1001,上海,10:46,NULL,城际动车
D9508,1,1001,上海,NULL,10:46,动车组
D9508,2,1015,苏州,11:19,11:21,动车组
D9508,3,1009,常州,11:53,11:55,动车组
D9508,4,1017,连云港,15:03,NULL,动车组
G7289,1,1012,徐州东,NULL,07:28,高速动车
G7289,2,1039,蚌埠南,08:11,08:13,高速动车
G7289,3,1005,南京南,09:02,09:07,高速动车
G7289,4,1001,上海,10:52,NULL,高速动车
G7240,1,1001,上海,NULL,10:54,高速动车
G7240,2,1015,苏州,11:30,11:32,高速动车
G7240,3,1009,常州,12:03,12:07,高速动车
G7240,4,1005,南京南,12:59,13:05,高速动车
G7240,5,1031,合肥南,13:53,NULL,高速动车
G7258,1,1031,合肥南,NULL,07:36,高速动车
G7258,2,1005,南京南,08:31,08:34,高速动车
G7258,3,1009,常州,09:44,09:46,高速动车
G7258,4,1015,苏州,10:17,10:19,高速动车
G7258,5,1001,上海,10:57,NULL,高速动车
G7010,1,1001,上海,NULL,11:00,高速动车
G7010,2,1015,苏州,11:25,11:27,高速动车
G7010,3,1009,常州,11:58,12:00,高速动车
G7010,4,1004,南京,12:39,NULL,高速动车
T109,1,1011,徐州,NULL,04:11,特快
T109,2,1004,南京,07:43,07:50,特快
T109,3,1009,常州,09:03,09:07,特快
T109,4,1015,苏州,10:02,10:06,特快
T109,5,1001,上海,11:00,NULL,特快
G7294,1,1012,徐州东,NULL,07:53,高速动车
G7294,2,1039,蚌埠南,08:36,08:38,高速动车
G7294,3,1005,南京南,09:34,09:37,高速动车
G7294,4,1010,常州北,10:08,10:10,高速动车
G7294,5,1016,苏州北,10:33,10:35,高速动车
G7294,6,1001,上海,11:03,NULL,高速动车
K2186,1,1001,上海,NULL,11:03,快速
K2186,2,1015,苏州,12:04,12:13,快速
K2186,3,1009,常州,13:12,13:17,快速
K2186,4,1004,南京,15:06,15:15,快速
K2186,5,1038,蚌埠,17:34,17:38,快速
K2186,6,1011,徐州,20:05,NULL,快速
K234,1,1001,上海,NULL,11:09,快速
K234,2,1015,苏州,12:16,12:20,快速
K234,3,1009,常州,13:19,13:23,快速
K234,4,1004,南京,15:00,15:09,快速
K234,5,1038,蚌埠,17:16,17:22,快速
K234,6,1011,徐州,19:59,NULL,快速
G130,1,1001,上海,NULL,11:15,高速动车
G130,2,1005,南京南,12:48,12:50,高速动车
G130,3,1012,徐州东,14:23,NULL,高速动车
K1156,1,1001,上海,NULL,11:16,快速
K1156,2,1015,苏州,12:25,12:28,快速
K1156,3,1009,常州,13:27,13:31,快速
K1156,4,1004,南京,15:12,15:29,快速
K1156,5,1037,芜湖,17:23,17:50,快速
K1156,6,1030,合肥,19:20,NULL,快速
G7264,1,1001,上海,NULL,11:20,高速动车
G7264,2,1015,苏州,11:47,11:49,高速动车
G7264,3,1009,常州,12:20,12:22,高速动车
G7264,4,1005,南京南,13:09,13:13,高速动车
G7264,5,1031,合肥南,14:03,NULL,高速动车
D9482,1,1001,上海,NULL,11:28,动车组
D9482,2,1007,南通西,12:59,NULL,动车组
G8263,1,1017,连云港,NULL,07:22,高速动车
G8263,2,1009,常州,10:01,10:03,高速动车
G8263,3,1015,苏州,10:48,10:50,高速动车
G8263,4,1001,上海,11:31,NULL,高速动车
K174,1,1011,徐州,NULL,01:25,快速
K174,2,1038,蚌埠,04:11,04:15,快速
K174,3,1004,南京,06:21,06:27,快速
K174,4,1009,常州,08:42,08:47,快速
K174,5,1015,苏州,09:52,09:57,快速
K174,6,1001,上海,11:31,NULL,快速
G7282,1,1001,上海,NULL,11:33,高速动车
G7282,2,1015,苏州,12:06,12:08,高速动车
G7282,3,1005,南京南,13:34,13:37,高速动车
G7282,4,1037,芜湖,14:14,14:16,高速动车
G7282,5,1033,宣城,14:45,NULL,高速动车
G7045,1,1004,南京,NULL,09:28,高速动车
G7045,2,1009,常州,10:27,10:29,高速动车
G7045,3,1015,苏州,11:00,11:02,高速动车
G7045,4,1001,上海,11:35,NULL,高速动车
C3891,1,1007,南通西,NULL,10:11,城际动车
C3891,2,1001,上海,11:37,NULL,城际动车
G5,1,1005,南京南,NULL,10:32,高速动车
G5,2,1001,上海,11:40,NULL,高速动车
K784,1,1037,芜湖,NULL,03:59,快速
K784,2,1004,南京,06:34,07:05,快速
K784,3,1009,常州,08:48,08:53,快速
K784,4,1015,苏州,10:23,10:28,快速
K784,5,1001,上海,11:45,NULL,快速
G7007,1,1004,南京,NULL,10:00,高速动车
G7007,2,1009,常州,10:39,10:41,高速动车
G7007,3,1015,苏州,11:12,11:14,高速动车
G7007,4,1001,上海,11:47,NULL,高速动车
K464,1,1001,上海,NULL,11:48,快速
K464,2,1015,苏州,13:15,13:19,快速
K464,3,1009,常州,14:18,14:23,快速
K464,4,1004,南京,16:18,16:28,快速
K464,5,1038,蚌埠,18:48,19:00,快速
K464,6,1042,阜阳,22:32,NULL,快速
Z166,1,1011,徐州,NULL,05:56,直达特快
Z166,2,1038,蚌埠,07:15,07:20,直达特快
Z166,3,1004,南京,08:53,09:00,直达特快
Z166,4,1015,苏州,10:53,10:57,直达特快
Z166,5,1001,上海,11:51,NULL,直达特快
G7244,1,1001,上海,NULL,11:53,高速动车
G7244,2,1015,苏州,12:19,12:21,高速动车
G7244,3,1005,南京南,13:40,13:43,高速动车
G7244,4,1031,合肥南,14:42,NULL,高速动车
Z42,1,1011,徐州,NULL,06:02,直达特快
Z42,2,1038,蚌埠,07:21,07:26,直达特快
Z42,3,1004,南京,08:59,09:06,直达特快
Z42,4,1009,常州,10:09,10:13,直达特快
Z42,5,1015,苏州,11:00,11:04,直达特快
Z42,6,1001,上海,11:59,NULL,直达特快
G12,1,1001,上海,NULL,12:00,高速动车
G12,2,1005,南京南,13:08,NULL,高速动车
G7012,1,1001,上海,NULL,12:05,高速动车
G7012,2,1015,苏州,12:30,12:32,高速动车
G7012,3,1009,常州,13:03,13:05,高速动车
G7012,4,1004,南京,13:45,NULL,高速动车
Z267,1,1011,徐州,NULL,06:08,直达特快
Z267,2,1038,蚌埠,07:27,07:32,直达特快
Z267,3,1004,南京,09:05,09:12,直达特快
Z267,4,1009,常州,10:15,10:19,直达特快
Z267,5,1015,苏州,11:06,11:10,直达特快
Z267,6,1001,上海,12:05,NULL,直达特快
G7047,1,1004,南京,NULL,10:12,高速动车
G7047,2,1009,常州,10:57,10:59,高速动车
G7047,3,1015,苏州,11:33,11:35,高速动车
G7047,4,1001,上海,12:07,NULL,高速动车
G7046,1,1001,上海,NULL,12:10,高速动车
G7046,2,1015,苏州,12:46,12:48,高速动车
G7046,3,1004,南京,14:13,NULL,高速动车
1462,1,1001,上海,NULL,12:15,普快
1462,2,1015,苏州,13:21,13:26,普快
1462,3,1009,常州,14:25,14:29,普快
1462,4,1004,南京,16:12,16:22,普快
1462,5,1038,蚌埠,18:36,18:42,普快
1462,6,1011,徐州,20:48,NULL,普快
G7221,1,1043,阜阳西,NULL,07:29,高速动车
G7221,2,1036,淮南南,08:26,08:28,高速动车
G7221,3,1030,合肥,08:55,09:00,高速动车
G7221,4,1005,南京南,09:51,09:56,高速动车
G7221,5,1009,常州,11:02,11:04,高速动车
G7221,6,1015,苏州,11:43,11:45,高速动车
G7221,7,1001,上海,12:17,NULL,高速动车
G415,1,1012,徐州东,NULL,09:39,高速动车
G415,2,1039,蚌埠南,10:15,10:17,高速动车
G415,3,1005,南京南,10:59,11:04,高速动车
G415,4,1001,上海,12:23,NULL,高速动车
G7299,1,1012,徐州东,NULL,09:07,高速动车
G7299,2,1039,蚌埠南,09:50,09:55,高速动车
G7299,3,1005,南京南,10:44,10:48,高速动车
G7299,4,1010,常州北,11:20,11:25,高速动车
G7299,5,1016,苏州北,11:55,12:00,高速动车
G7299,6,1001,上海,12:27,NULL,高速动车
G7048,1,1001,上海,NULL,12:28,高速动车
G7048,2,1015,苏州,13:02,13:04,高速动车
G7048,3,1009,常州,13:41,13:43,高速动车
G7048,4,1004,南京,14:35,NULL,高速动车
D9486,1,1001,上海,NULL,12:32,动车组
D9486,2,1007,南通西,14:01,14:03,动车组
D9486,3,1004,南京,16:28,NULL,动车组
G7074,1,1032,安庆,NULL,08:22,高速动车
G7074,2,1040,铜陵,09:03,09:05,高速动车
G7074,3,1037,芜湖,09:42,09:44,高速动车
G7074,4,1005,南京南,10:28,10:34,高速动车
G7074,5,1009,常州,11:26,11:28,高速动车
G7074,6,1015,苏州,11:59,12:01,高速动车
G7074,7,1001,上海,12:35,NULL,高速动车
K736,1,1011,徐州,NULL,02:41,快速
K736,2,1038,蚌埠,04:37,04:41,快速
K736,3,1004,南京,07:26,07:41,快速
K736,4,1009,常州,09:18,09:22,快速
K736,5,1015,苏州,10:30,10:34,快速
K736,6,1001,上海,12:35,NULL,快速
G7009,1,1004,南京,NULL,11:00,高速动车
G7009,2,1009,常州,11:39,11:41,高速动车
G7009,3,1015,苏州,12:12,12:14,高速动车
G7009,4,1001,上海,12:39,NULL,高速动车
G7296,1,1001,上海,NULL,12:40,高速动车
G7296,2,1016,苏州北,13:08,13:10,高速动车
G7296,3,1005,南京南,14:13,14:16,高速动车
G7296,4,1039,蚌埠南,14:58,15:00,高速动车
G7296,5,1012,徐州东,15:38,NULL,高速动车
T131,1,1011,徐州,NULL,06:14,特快
T131,2,1004,南京,09:20,09:28,特快
T131,3,1009,常州,10:48,10:52,特快
T131,4,1015,苏州,11:45,11:49,特快
T131,5,1001,上海,12:44,NULL,特快
G416,1,1001,上海,NULL,12:45,高速动车
G416,2,1016,苏州北,13:13,13:15,高速动车
G416,3,1010,常州北,13:47,13:54,高速动车
G416,4,1005,南京南,14:32,14:37,高速动车
G416,5,1012,徐州东,16:02,NULL,高速动车
Z254,1,1011,徐州,NULL,06:50,直达特快
Z254,2,1038,蚌埠,08:16,08:20,直达特快
Z254,3,1004,南京,09:53,10:00,直达特快
Z254,4,1009,常州,11:04,11:08,直达特快
Z254,5,1015,苏州,11:55,11:59,直达特快
Z254,6,1001,上海,12:50,NULL,直达特快
G7088,1,1001,上海,NULL,12:54,高速动车
G7088,2,1015,苏州,13:30,13:32,高速动车
G7088,3,1009,常州,14:03,14:05,高速动车
G7088,4,1005,南京南,14:51,14:53,高速动车
G7088,5,1037,芜湖,15:30,15:32,高速动车
G7088,6,1040,铜陵,16:04,16:06,高速动车
G7088,7,1032,安庆,16:47,NULL,高速动车
