train_no,station_order,station_id,arrival_time,departure_time
D308,4,1015,05:22,05:24
D308,5,1001,06:20,NULL
G7076,1,1001,NULL,06:20
G7076,2,1015,06:52,06:54
G7076,3,1009,07:31,07:33
G7076,4,1005,08:34,08:36
G7076,5,1037,09:13,09:15
G7076,6,1040,09:47,09:49
G7076,7,1032,10:30,NULL
D312,1,1011,NULL,00:46
D312,2,1004,03:34,03:40
D312,3,1009,04:41,04:43
D312,4,1015,05:28,05:30
D312,5,1001,06:26,NULL
K8431,1,1038,NULL,23:52
K8431,2,1004,01:50,01:58
K8431,3,1015,04:54,04:58
K8431,4,1001,06:33,NULL
G8266,1,1001,NULL,06:38
G8266,2,1015,07:33,07:35
G8266,3,1009,08:06,08:08
G8266,4,1017,10:45,NULL
K154,1,1004,NULL,02:50
K154,2,1009,04:13,04:17
K154,3,1015,05:15,05:18
K154,4,1001,06:40,NULL
G7002,1,1001,NULL,06:48
G7002,2,1015,07:20,07:22
G7002,3,1009,07:54,07:56
G7002,4,1004,08:41,NULL
1461,1,1011,NULL,22:57
1461,2,1038,00:47,00:51
1461,3,1004,02:56,03:03
1461,4,1009,04:23,04:26
1461,5,1015,05:50,05:54
1461,6,1001,07:00,NULL
G6,1,1001,NULL,07:00
G6,2,1016,07:25,07:27
G6,3,1005,08:11,NULL
G222,1,1001,NULL,07:05
G222,2,1016,07:33,07:35
G222,3,1005,08:23,08:25
G222,4,1012,09:41,NULL
K284,1,1011,NULL,23:40
K284,2,1038,01:23,01:27
K284,3,1004,03:44,03:53
K284,4,1001,07:07,NULL
G7034,1,1001,NULL,07:10
G7034,2,1015,07:43,07:45
G7034,3,1009,08:25,08:27
G7034,4,1004,09:19,NULL
G7213,1,1015,NULL,06:40
G7213,2,1001,07:19,NULL
G7203,1,1015,NULL,06:53
G7203,2,1001,07:25,NULL
G7029,1,1004,NULL,05:36
G7029,2,1009,06:28,06:30
G7029,3,1015,07:01,07:03
G7029,4,1001,07:30,NULL
G7080,1,1001,NULL,07:31
G7080,2,1015,08:09,08:11
G7080,3,1009,08:42,08:44
G7080,4,1005,09:42,09:45
G7080,5,1037,10:28,10:30
G7080,6,1040,11:08,11:10
G7080,7,1032,11:51,NULL
G7358,1,1022,NULL,06:10
G7358,2,1020,06:39,06:41
G7358,3,1003,07:08,07:10
G7358,4,1001,07:37,NULL
G7211,1,1009,NULL,06:35
G7211,2,1015,07:06,07:08
G7211,3,1001,07:42,NULL
G8268,1,1001,NULL,07:42
G8268,2,1015,08:14,08:16
G8268,3,1009,08:47,NULL
D709,1,1004,NULL,05:16
D709,2,1009,06:18,06:20
D709,3,1001,07:44,NULL
C3804,1,1006,NULL,06:15
C3804,2,1001,07:49,NULL
G7031,1,1004,NULL,06:00
G7031,2,1001,07:54,NULL
C3852,1,1001,NULL,07:55
C3852,2,1007,09:24,09:26
C3852,3,1004,11:51,NULL
G7004,1,1001,NULL,08:00
G7004,2,1015,08:25,08:27
G7004,3,1009,08:59,09:01
G7004,4,1004,09:40,NULL
G7268,1,1001,NULL,08:05
G7268,2,1015,08:37,08:39
G7268,3,1009,09:10,09:12
G7268,4,1005,10:05,10:08
G7268,5,1030,10:59,11:05
G7268,6,1036,11:44,NULL
G7317,1,1001,NULL,08:05
G7317,2,1003,08:34,08:36
G7317,3,1020,09:04,09:11
G7317,4,1023,09:36,09:41
G7317,5,1045,11:30,NULL
K8361,1,1042,NULL,18:30
K8361,2,1030,22:15,22:35
K8361,3,1037,00:13,00:38
K8361,4,1004,02:52,03:10
K8361,5,1009,04:50,04:59
K8361,6,1015,06:03,06:13
K8361,7,1001,08:05,NULL
G7209,1,1015,NULL,07:26
G7209,2,1001,08:07,NULL
G7036,1,1001,NULL,08:10
G7036,2,1015,08:42,08:44
G7036,3,1004,10:14,NULL
Z94,1,1015,NULL,07:18
Z94,2,1001,08:11,NULL
G7232,1,1001,NULL,08:15
G7232,2,1009,09:31,09:33
G7232,3,1005,10:25,10:32
G7232,4,1031,11:27,NULL
G7033,1,1009,NULL,07:00
G7033,2,1015,07:34,07:36
G7033,3,1001,08:18,NULL
C3808,1,1006,NULL,06:47
C3808,2,1001,08:20,NULL
G8276,1,1001,NULL,08:25
G8276,2,1015,09:06,09:08
G8276,3,1009,09:38,NULL
K8358,1,1018,NULL,19:30
K8358,2,1017,19:58,20:03
K8358,3,1013,21:02,21:06
K8358,4,1011,22:30,22:39
K8358,5,1038,01:09,01:13
K8358,6,1004,03:12,03:20
K8358,7,1009,05:05,05:17
K8358,8,1015,07:06,07:09
K8358,9,1001,08:28,NULL
D952,1,1001,NULL,08:30
D952,2,1005,10:12,10:16
D952,3,1031,11:06,NULL
G7035,1,1004,NULL,06:30
G7035,2,1009,07:15,07:17
G7035,3,1015,07:55,07:57
G7035,4,1001,08:35,NULL
G7084,1,1001,NULL,08:37
G7084,2,1015,09:11,09:13
G7084,3,1009,09:43,09:45
G7084,4,1005,10:40,10:46
G7084,5,1037,11:23,11:25
G7084,6,1040,12:03,12:05
G7084,7,1032,12:46,NULL
G7001,1,1004,NULL,07:00
G7001,2,1009,07:39,07:41
G7001,3,1015,08:12,08:14
G7001,4,1001,08:39,NULL
K290,1,1001,NULL,08:45
K290,2,1015,09:54,09:58
K290,3,1009,11:09,11:13
K290,4,1004,12:47,12:59
K290,5,1038,15:05,15:14
K290,6,1011,17:17,NULL
C3856,1,1001,NULL,08:51
C3856,2,1007,10:15,10:17
C3856,3,1004,12:48,NULL
Z376,1,1001,NULL,08:57
Z376,2,1015,10:01,10:04
Z376,3,1009,10:57,11:01
Z376,4,1004,12:41,12:47
Z376,5,1038,14:58,15:08
Z376,6,1011,16:55,NULL
G7037,1,1005,NULL,06:40
G7037,2,1009,07:33,07:35
G7037,3,1015,08:06,08:08
G7037,4,1001,08:58,NULL
K1101,1,1011,NULL,00:14
K1101,2,1038,02:16,02:21
K1101,3,1004,04:20,04:28
K1101,4,1009,06:42,06:46
K1101,5,1015,07:45,07:49
K1101,6,1001,08:59,NULL
G7006,1,1001,NULL,09:00
G7006,2,1015,09:25,09:27
G7006,3,1009,09:58,10:00
G7006,4,1004,10:41,NULL
K516,1,1001,NULL,09:03
K516,2,1015,10:19,10:23
K516,3,1009,11:22,11:25
K516,4,1004,12:53,13:05
K516,5,1038,15:18,15:22
K516,6,1011,17:58,NULL
K233,1,1011,NULL,23:31
K233,2,1004,03:18,03:47
K233,3,1009,05:25,05:29
K233,4,1015,07:23,07:27
K233,5,1001,09:05,NULL
G7038,1,1001,NULL,09:08
G7038,2,1015,09:48,09:50
G7038,3,1009,10:21,10:23
G7038,4,1004,11:19,NULL
G8262,1,1001,NULL,09:08
G8262,2,1015,09:48,09:50
G8262,3,1009,10:21,10:23
G8262,4,1017,13:12,NULL
G7039,1,1004,NULL,07:15
G7039,2,1015,08:40,08:42
G7039,3,1001,09:15,NULL
G8272,1,1001,NULL,09:17
G8272,2,1015,09:53,09:55
G8272,3,1009,10:41,10:48
G8272,4,1012,13:33,NULL
D705,1,1004,NULL,06:52
D705,2,1001,09:21,NULL
K360,1,1001,NULL,09:23
K360,2,1015,10:25,10:29
K360,3,1009,11:28,11:31
K360,4,1004,13:08,13:14
K360,5,1038,15:24,15:28
K360,6,1011,17:45,NULL
G7274,1,1037,NULL,06:42
G7274,2,1005,07:19,07:24
G7274,3,1009,08:22,08:24
G7274,4,1015,08:56,08:58
G7274,5,1001,09:30,NULL
G7043,1,1005,NULL,07:12
G7043,2,1015,08:45,08:47
G7043,3,1001,09:35,NULL
G7319,1,1001,NULL,09:38
G7319,2,1003,10:05,10:08
G7319,3,1020,10:37,10:39
G7319,4,1023,11:03,11:14
G7319,5,1045,12:46,NULL
G7003,1,1004,NULL,08:00
G7003,2,1009,08:39,08:41
G7003,3,1015,09:12,09:14
G7003,4,1001,09:39,NULL
G7040,1,1001,NULL,09:53
G7040,2,1015,10:30,10:32
G7040,3,1009,11:03,11:05
G7040,4,1004,11:51,NULL
C3854,1,1004,NULL,06:15
C3854,2,1007,08:33,08:35
C3854,3,1001,09:54,NULL
C3860,1,1001,NULL,09:56
C3860,2,1007,11:26,11:28
C3860,3,1004,13:53,NULL
G7008,1,1001,NULL,10:00
G7008,2,1015,10:25,10:27
G7008,3,1009,10:58,11:00
G7008,4,1004,11:40,NULL
Z198,1,1004,NULL,07:20
Z198,2,1001,10:00,NULL
G7042,1,1001,NULL,10:05
G7042,2,1015,10:45,10:47
G7042,3,1009,11:14,11:16
G7042,4,1004,12:07,NULL
G7262,1,1030,NULL,08:03
G7262,2,1005,08:54,08:58
G7262,3,1001,10:13,NULL
K1556,1,1001,NULL,10:15
K1556,2,1015,11:17,11:21
K1556,3,1009,12:26,12:29
K1556,4,1004,14:24,14:36
K1556,5,1037,16:30,16:36
K1556,6,1040,18:03,NULL
G7228,1,1037,NULL,07:28
G7228,2,1005,08:06,08:10
G7228,3,1009,09:09,09:11
G7228,4,1015,09:43,09:45
G7228,5,1001,10:18,NULL
K462,1,1042,NULL,21:56
K462,2,1004,05:25,05:31
K462,3,1009,07:18,07:22
K462,4,1015,08:48,08:53
K462,5,1001,10:19,NULL
C3864,1,1001,NULL,10:22
C3864,2,1007,11:50,11:52
C3864,3,1004,14:16,NULL
G7236,1,1001,NULL,10:28
G7236,2,1015,11:00,11:02
G7236,3,1009,11:41,11:43
G7236,4,1005,12:38,12:44
G7236,5,1031,13:35,NULL
Z100,1,1028,NULL,07:25
Z100,2,1001,10:37,NULL
G7005,1,1004,NULL,09:00
G7005,2,1009,09:39,09:41
G7005,3,1015,10:12,10:14
G7005,4,1001,10:39,NULL
G7060,1,1001,NULL,10:40
G7060,2,1009,11:46,11:48
G7060,3,1005,12:42,12:45
G7060,4,1037,13:28,13:31
G7060,5,1040,14:09,14:11
G7060,6,1032,14:52,NULL
C3816,1,1006,NULL,09:04
C3816,2,1001,10:46,NULL
D9508,1,1001,NULL,10:46
D9508,2,1015,11:19,11:21
D9508,3,1009,11:53,11:55
D9508,4,1017,15:03,NULL
G7289,1,1012,NULL,07:28
G7289,2,1039,08:11,08:13
G7289,3,1005,09:02,09:07
G7289,4,1001,10:52,NULL
G7240,1,1001,NULL,10:54
G7240,2,1015,11:30,11:32
G7240,3,1009,12:03,12:07
G7240,4,1005,12:59,13:05
G7240,5,1031,13:53,NULL
G7258,1,1031,NULL,07:36
G7258,2,1005,08:31,08:34
G7258,3,1009,09:44,09:46
G7258,4,1015,10:17,10:19
G7258,5,1001,10:57,NULL
G7010,1,1001,NULL,11:00
G7010,2,1015,11:25,11:27
G7010,3,1009,11:58,12:00
G7010,4,1004,12:39,NULL
T109,1,1011,NULL,04:11
T109,2,1004,07:43,07:50
T109,3,1009,09:03,09:07
T109,4,1015,10:02,10:06
T109,5,1001,11:00,NULL
G7294,1,1012,NULL,07:53
G7294,2,1039,08:36,08:38
G7294,3,1005,09:34,09:37
G7294,4,1010,10:08,10:10
G7294,5,1016,10:33,10:35
G7294,6,1001,11:03,NULL
K2186,1,1001,NULL,11:03
K2186,2,1015,12:04,12:13
K2186,3,1009,13:12,13:17
K2186,4,1004,15:06,15:15
K2186,5,1038,17:34,17:38
K2186,6,1011,20:05,NULL
K234,1,1001,NULL,11:09
K234,2,1015,12:16,12:20
K234,3,1009,13:19,13:23
K234,4,1004,15:00,15:09
K234,5,1038,17:16,17:22
K234,6,1011,19:59,NULL
G130,1,1001,NULL,11:15
G130,2,1005,12:48,12:50
G130,3,1012,14:23,NULL
K1156,1,1001,NULL,11:16
K1156,2,1015,12:25,12:28
K1156,3,1009,13:27,13:31
K1156,4,1004,15:12,15:29
K1156,5,1037,17:23,17:50
K1156,6,1030,19:20,NULL
G7264,1,1001,NULL,11:20
G7264,2,1015,11:47,11:49
G7264,3,1009,12:20,12:22
G7264,4,1005,13:09,13:13
G7264,5,1031,14:03,NULL
D9482,1,1001,NULL,11:28
D9482,2,1007,12:59,NULL
G8263,1,1017,NULL,07:22
G8263,2,1009,10:01,10:03
G8263,3,1015,10:48,10:50
G8263,4,1001,11:31,NULL
K174,1,1011,NULL,01:25
K174,2,1038,04:11,04:15
K174,3,1004,06:21,06:27
K174,4,1009,08:42,08:47
K174,5,1015,09:52,09:57
K174,6,1001,11:31,NULL
G7282,1,1001,NULL,11:33
G7282,2,1015,12:06,12:08
G7282,3,1005,13:34,13:37
G7282,4,1037,14:14,14:16
G7282,5,1033,14:45,NULL
G7045,1,1004,NULL,09:28
G7045,2,1009,10:27,10:29
G7045,3,1015,11:00,11:02
G7045,4,1001,11:35,NULL
C3891,1,1007,NULL,10:11
C3891,2,1001,11:37,NULL
G5,1,1005,NULL,10:32
G5,2,1001,11:40,NULL
K784,1,1037,NULL,03:59
K784,2,1004,06:34,07:05
K784,3,1009,08:48,08:53
K784,4,1015,10:23,10:28
K784,5,1001,11:45,NULL
G7007,1,1004,NULL,10:00
G7007,2,1009,10:39,10:41
G7007,3,1015,11:12,11:14
G7007,4,1001,11:47,NULL
K464,1,1001,NULL,11:48
K464,2,1015,13:15,13:19
K464,3,1009,14:18,14:23
K464,4,1004,16:18,16:28
K464,5,1038,18:48,19:00
K464,6,1042,22:32,NULL
Z166,1,1011,NULL,05:56
Z166,2,1038,07:15,07:20
Z166,3,1004,08:53,09:00
Z166,4,1015,10:53,10:57
Z166,5,1001,11:51,NULL
G7244,1,1001,NULL,11:53
G7244,2,1015,12:19,12:21
G7244,3,1005,13:40,13:43
G7244,4,1031,14:42,NULL
Z42,1,1011,NULL,06:02
Z42,2,1038,07:21,07:26
Z42,3,1004,08:59,09:06
Z42,4,1009,10:09,10:13
Z42,5,1015,11:00,11:04
Z42,6,1001,11:59,NULL
G12,1,1001,NULL,12:00
G12,2,1005,13:08,NULL
G7012,1,1001,NULL,12:05
G7012,2,1015,12:30,12:32
G7012,3,1009,13:03,13:05
G7012,4,1004,13:45,NULL
Z267,1,1011,NULL,06:08
Z267,2,1038,07:27,07:32
Z267,3,1004,09:05,09:12
Z267,4,1009,10:15,10:19
Z267,5,1015,11:06,11:10
Z267,6,1001,12:05,NULL
G7047,1,1004,NULL,10:12
G7047,2,1009,10:57,10:59
G7047,3,1015,11:33,11:35
G7047,4,1001,12:07,NULL
G7046,1,1001,NULL,12:10
G7046,2,1015,12:46,12:48
G7046,3,1004,14:13,NULL
1462,1,1001,NULL,12:15
1462,2,1015,13:21,13:26
1462,3,1009,14:25,14:29
1462,4,1004,16:12,16:22
1462,5,1038,18:36,18:42
1462,6,1011,20:48,NULL
G7221,1,1043,NULL,07:29
G7221,2,1036,08:26,08:28
G7221,3,1030,08:55,09:00
G7221,4,1005,09:51,09:56
G7221,5,1009,11:02,11:04
G7221,6,1015,11:43,11:45
G7221,7,1001,12:17,NULL
G415,1,1012,NULL,09:39
G415,2,1039,10:15,10:17
G415,3,1005,10:59,11:04
G415,4,1001,12:23,NULL
G7299,1,1012,NULL,09:07
G7299,2,1039,09:50,09:55
G7299,3,1005,10:44,10:48
G7299,4,1010,11:20,11:25
G7299,5,1016,11:55,12:00
G7299,6,1001,12:27,NULL
G7048,1,1001,NULL,12:28
G7048,2,1015,13:02,13:04
G7048,3,1009,13:41,13:43
G7048,4,1004,14:35,NULL
D9486,1,1001,NULL,12:32
D9486,2,1007,14:01,14:03
D9486,3,1004,16:28,NULL
G7074,1,1032,NULL,08:22
G7074,2,1040,09:03,09:05
G7074,3,1037,09:42,09:44
G7074,4,1005,10:28,10:34
G7074,5,1009,11:26,11:28
G7074,6,1015,11:59,12:01
G7074,7,1001,12:35,NULL
K736,1,1011,NULL,02:41
K736,2,1038,04:37,04:41
K736,3,1004,07:26,07:41
K736,4,1009,09:18,09:22
K736,5,1015,10:30,10:34
K736,6,1001,12:35,NULL
G7009,1,1004,NULL,11:00
G7009,2,1009,11:39,11:41
G7009,3,1015,12:12,12:14
G7009,4,1001,12:39,NULL
G7296,1,1001,NULL,12:40
G7296,2,1016,13:08,13:10
G7296,3,1005,14:13,14:16
G7296,4,1039,14:58,15:00
G7296,5,1012,15:38,NULL
T131,1,1011,NULL,06:14
T131,2,1004,09:20,09:28
T131,3,1009,10:48,10:52
T131,4,1015,11:45,11:49
T131,5,1001,12:44,NULL
G416,1,1001,NULL,12:45
G416,2,1016,13:13,13:15
G416,3,1010,13:47,13:54
G416,4,1005,14:32,14:37
G416,5,1012,16:02,NULL
Z254,1,1011,NULL,06:50
Z254,2,1038,08:16,08:20
Z254,3,1004,09:53,10:00
Z254,4,1009,11:04,11:08
Z254,5,1015,11:55,11:59
Z254,6,1001,12:50,NULL
G7088,1,1001,NULL,12:54
G7088,2,1015,13:30,13:32
G7088,3,1009,14:03,14:05
G7088,4,1005,14:51,14:53
G7088,5,1037,15:30,15:32
G7088,6,1040,16:04,16:06
G7088,7,1032,16:47,NULL
Z174,1,1011,NULL,07:10
Z174,2,1004,09:59,10:06
Z174,3,1009,11:10,11:14
Z174,4,1015,12:01,12:05
Z174,5,1001,12:56,NULL
G7014,1,1001,NULL,13:00
G7014,2,1015,13:25,13:27
G7014,3,1009,13:58,14:00
G7014,4,1004,14:40,NULL
C3858,1,1004,NULL,09:15
C3858,2,1007,11:33,11:35
C3858,3,1001,13:07,NULL
G7248,1,1001,NULL,13:14
G7248,2,1015,13:50,13:52
G7248,3,1005,15:18,15:23
G7248,4,1031,16:11,NULL
G7078,1,1032,NULL,09:10
G7078,2,1040,09:51,09:53
G7078,3,1037,10:24,10:26
G7078,4,1005,11:04,11:09
G7078,5,1009,11:55,11:57
G7078,6,1015,12:31,12:33
G7078,7,1001,13:21,NULL
K172,1,1001,NULL,13:22
K172,2,1015,14:38,14:43
K172,3,1009,15:43,15:48
K172,4,1004,17:30,17:38
K172,5,1038,20:34,20:39
K172,6,1011,22:55,NULL
K782,1,1001,NULL,13:28
K782,2,1015,14:30,14:35
K782,3,1009,15:35,15:39
K782,4,1004,17:23,17:43
K782,5,1037,20:11,20:17
K782,6,1040,21:48,NULL
T118,1,1011,NULL,06:40
T118,2,1038,08:23,08:32
T118,3,1004,10:14,10:25
T118,4,1015,12:30,12:34
T118,5,1001,13:30,NULL
C3868,1,1001,NULL,13:34
C3868,2,1007,15:04,15:06
C3868,3,1004,17:34,NULL
G7011,1,1004,NULL,12:00
G7011,2,1009,12:39,12:41
G7011,3,1015,13:12,13:14
G7011,4,1001,13:40,NULL
G7092,1,1001,NULL,13:41
G7092,2,1015,14:20,14:22
G7092,3,1009,14:53,14:55
G7092,4,1005,15:51,15:54
G7092,5,1037,16:31,16:33
G7092,6,1040,17:11,17:13
G7092,7,1032,17:54,NULL
K1102,1,1001,NULL,13:44
K1102,2,1015,14:47,14:50
K1102,3,1009,15:50,15:55
K1102,4,1004,17:56,18:06
K1102,5,1038,20:28,20:32
K1102,6,1011,22:35,NULL
G8273,1,1012,NULL,09:35
G8273,2,1009,12:22,12:27
G8273,3,1015,13:07,13:09
G8273,4,1001,13:48,NULL
K559,1,1011,NULL,04:48
K559,2,1038,06:31,06:47
K559,3,1004,09:38,09:45
K559,4,1009,11:34,11:43
K559,5,1015,12:42,12:46
K559,6,1001,13:48,NULL
G7016,1,1001,NULL,14:00
G7016,2,1015,14:25,14:27
G7016,3,1009,14:58,15:00
G7016,4,1004,15:41,NULL
K738,1,1001,NULL,14:04
K738,2,1015,15:11,15:14
K738,3,1009,16:13,16:16
K738,4,1004,18:05,18:19
K738,5,1038,21:05,21:10
K738,6,1011,23:01,NULL
G7051,1,1004,NULL,12:08
G7051,2,1009,12:54,12:56
G7051,3,1015,13:33,13:35
G7051,4,1001,14:12,NULL
T132,1,1001,NULL,14:13
T132,2,1015,15:02,15:06
T132,3,1009,16:00,16:04
T132,4,1004,17:37,17:45
T132,5,1038,19:27,19:31
T132,6,1011,21:20,NULL
G7276,1,1001,NULL,14:19
G7276,2,1015,14:44,14:46
G7276,3,1009,15:17,15:19
G7276,4,1005,16:13,16:15
G7276,5,1030,17:08,17:13
G7276,6,1036,17:40,17:45
G7276,7,1043,18:40,NULL
G8267,1,1009,NULL,13:01
G8267,2,1015,13:50,13:52
G8267,3,1001,14:29,NULL
G7050,1,1001,NULL,14:30
G7050,2,1015,15:07,15:09
G7050,3,1004,16:29,NULL
G7013,1,1004,NULL,13:00
G7013,2,1009,13:39,13:41
G7013,3,1015,14:12,14:14
G7013,4,1001,14:39,NULL
K1158,1,1030,NULL,05:46
K1158,2,1037,07:21,07:41
K1158,3,1004,09:36,10:12
K1158,4,1009,11:55,11:59
K1158,5,1015,12:58,13:02
K1158,6,1001,14:40,NULL
G7100,1,1001,NULL,14:45
G7100,2,1015,15:19,15:21
G7100,3,1009,16:03,16:05
G7100,4,1004,16:57,NULL
K374,1,1011,NULL,05:12
K374,2,1038,07:53,08:00
K374,3,1004,10:29,10:37
K374,4,1009,12:05,12:09
K374,5,1015,13:08,13:12
K374,6,1001,14:46,NULL
K560,1,1001,NULL,14:48
K560,2,1015,15:56,15:59
K560,3,1009,16:58,17:02
K560,4,1004,19:02,19:10
K560,5,1038,21:21,21:26
K560,6,1011,23:28,NULL
Z218,1,1011,NULL,08:40
Z218,2,1038,10:05,10:11
Z218,3,1004,12:03,12:11
Z218,4,1015,13:57,14:01
Z218,5,1001,14:54,NULL
Z268,1,1001,NULL,14:54
Z268,2,1015,15:44,15:48
Z268,3,1009,16:34,16:37
Z268,4,1004,17:46,17:53
Z268,5,1038,19:33,19:38
Z268,6,1011,21:08,NULL
G441,1,1012,NULL,11:37
G441,2,1039,12:14,12:19
G441,3,1005,13:00,13:06
G441,4,1010,13:38,13:57
G441,5,1016,14:19,14:29
G441,6,1001,14:57,NULL
G7018,1,1001,NULL,15:00
G7018,2,1015,15:25,15:27
G7018,3,1009,15:58,16:00
G7018,4,1004,16:45,NULL
G7229,1,1005,NULL,12:59
G7229,2,1009,13:51,13:53
G7229,3,1015,14:24,14:26
G7229,4,1001,15:02,NULL
G7800,1,1001,NULL,15:05
G7800,2,1015,15:40,NULL
G8270,1,1001,NULL,15:10
G8270,2,1015,15:45,15:47
G8270,3,1009,16:18,NULL
G7053,1,1004,NULL,13:08
G7053,2,1009,14:01,14:03
G7053,3,1015,14:35,14:37
G7053,4,1001,15:15,NULL
G7082,1,1032,NULL,11:00
G7082,2,1040,11:41,11:43
G7082,3,1037,12:20,12:22
G7082,4,1005,13:06,13:14
G7082,5,1009,14:06,14:08
G7082,6,1015,14:45,14:47
G7082,7,1001,15:20,NULL
G442,1,1001,NULL,15:22
G442,2,1016,15:50,15:52
G442,3,1010,16:14,16:16
G442,4,1005,16:48,16:51
G442,5,1039,17:32,17:34
G442,6,1012,18:18,NULL
D5591,1,1043,NULL,09:40
D5591,2,1036,10:18,10:20
D5591,3,1030,10:49,10:53
D5591,4,1007,14:00,14:02
D5591,5,1001,15:28,NULL
G7218,1,1001,NULL,15:29
G7218,2,1015,15:55,15:57
G7218,3,1005,17:13,17:15
G7218,4,1037,17:52,NULL
T116,1,1001,NULL,15:33
T116,2,1015,16:31,16:35
T116,3,1009,17:26,17:30
T116,4,1004,18:47,18:55
T116,5,1038,20:42,20:47
T116,6,1011,22:18,NULL
G7052,1,1001,NULL,15:39
G7052,2,1015,16:10,16:12
G7052,3,1009,16:43,16:45
G7052,4,1004,17:44,NULL
G7015,1,1004,NULL,14:00
G7015,2,1009,14:39,14:41
G7015,3,1015,15:12,15:14
G7015,4,1001,15:40,NULL
G7252,1,1001,NULL,15:44
G7252,2,1005,16:57,17:00
G7252,3,1031,17:48,NULL
C3802,1,1001,NULL,15:46
C3802,2,1006,17:26,NULL
G8275,1,1009,NULL,14:46
G8275,2,1015,15:17,15:19
G8275,3,1001,15:51,NULL
Z252,1,1001,NULL,15:52
Z252,2,1015,16:37,16:43
Z252,3,1009,17:32,17:36
Z252,4,1004,18:53,19:03
Z252,5,1038,20:48,20:54
Z252,6,1011,22:24,NULL
K190,1,1011,NULL,08:11
K190,2,1038,09:53,09:58
K190,3,1004,12:10,12:18
K190,4,1015,14:50,14:53
K190,5,1001,15:58,NULL
G7020,1,1001,NULL,16:00
G7020,2,1015,16:25,16:27
G7020,3,1009,16:58,17:00
G7020,4,1004,17:39,NULL
K372,1,1001,NULL,16:03
K372,2,1015,17:16,17:20
K372,3,1009,18:12,18:16
K372,4,1004,19:42,19:49
K372,5,1038,21:54,22:00
K372,6,1011,23:43,NULL
G7234,1,1031,NULL,13:08
G7234,2,1005,13:56,13:58
G7234,3,1009,14:50,14:52
G7234,4,1015,15:27,15:29
G7234,5,1001,16:09,NULL
C3806,1,1001,NULL,16:10
C3806,2,1006,17:44,NULL
Z306,1,1011,NULL,09:16
Z306,2,1038,10:46,10:51
Z306,3,1004,12:39,12:51
Z306,4,1009,14:10,14:13
Z306,5,1015,15:06,15:11
Z306,6,1001,16:10,NULL
G8277,1,1012,NULL,12:06
G8277,2,1015,15:41,15:43
G8277,3,1001,16:16,NULL
K1331,1,1011,NULL,08:17
K1331,2,1038,09:59,10:04
K1331,3,1004,12:16,12:24
K1331,4,1009,13:56,14:00
K1331,5,1015,15:00,15:03
K1331,6,1001,16:16,NULL
Z40,1,1001,NULL,16:17
Z40,2,1015,17:09,17:13
Z40,3,1009,18:00,18:04
Z40,4,1004,19:13,19:19
Z40,5,1038,20:54,21:00
Z40,6,1011,22:48,NULL
G8274,1,1001,NULL,16:20
G8274,2,1015,16:52,16:54
G8274,3,1009,17:31,17:33
G8274,4,1012,20:24,NULL
C3895,1,1007,NULL,14:42
C3895,2,1001,16:23,NULL
G7057,1,1004,NULL,14:28
G7057,2,1015,15:52,15:54
G7057,3,1001,16:28,NULL
G8291,1,1017,NULL,12:04
G8291,2,1014,13:37,13:39
G8291,3,1007,14:49,14:51
G8291,4,1001,16:29,NULL
K152,1,1001,NULL,16:31
K152,2,1015,17:34,17:39
K152,3,1009,18:39,18:44
